Size,Trees,Total,Small,Middle,Big,Mean,Percent
137,4,39,0,9.5,20,9.7500000000000000,6.9343065693430657
138,8,50,0,3.5,19,6.2500000000000000,2.5362318840579710
139,5,55,0,12,23,11.0000000000000000,8.6330935251798561
140,4,3,0,0.5,2,0.75000000000000000000,0.35714285714285714286
141,5,2,0,0,1,0.40000000000000000000,0.00000000000000000000
142,8,48,0,2,29,6.0000000000000000,1.4084507042253521
143,4,3,0,0,3,0.75000000000000000000,0.00000000000000000000
145,9,63,0,3,24,7.0000000000000000,2.0689655172413793
147,7,56,0,1,28,8.0000000000000000,0.68027210884353741497
148,4,16,0,2.5,11,4.0000000000000000,1.6891891891891892
149,6,13,0,0,10,2.1666666666666667,0.00000000000000000000
150,4,43,0,6,31,10.7500000000000000,4.0000000000000000
151,3,21,0,5,16,7.0000000000000000,3.3112582781456954
152,6,112,1,19,40,18.6666666666666667,12.5000000000000000
154,5,36,0,6,17,7.2000000000000000,3.8961038961038961
156,3,6,0,2,4,2.0000000000000000,1.2820512820512821
158,4,11,0,2,7,2.7500000000000000,1.2658227848101266
159,3,12,1,3,8,4.0000000000000000,1.8867924528301887
160,5,53,0,4,44,10.6000000000000000,2.5000000000000000
163,3,40,0,17,23,13.3333333333333333,10.4294478527607362
171,3,18,0,3,15,6.0000000000000000,1.7543859649122807
173,3,1,0,0,1,0.33333333333333333333,0.00000000000000000000
176,5,92,0,23,43,18.4000000000000000,13.0681818181818182
179,4,25,0,3.5,18,6.2500000000000000,1.9553072625698324
180,5,16,0,0,14,3.2000000000000000,0.00000000000000000000
181,3,7,0,2,5,2.3333333333333333,1.1049723756906077
182,5,107,0,23,34,21.4000000000000000,12.6373626373626374
184,3,1,0,0,1,0.33333333333333333333,0.00000000000000000000
190,3,46,6,12,28,15.3333333333333333,6.3157894736842105
191,3,52,1,10,41,17.3333333333333333,5.2356020942408377
192,3,37,7,15,15,12.3333333333333333,7.8125000000000000
193,3,44,0,13,31,14.6666666666666667,6.7357512953367876
196,3,0,0,0,0,0.00000000000000000000,0.00000000000000000000
205,4,33,0,7.5,18,8.2500000000000000,3.6585365853658537
210,5,88,1,18,36,17.6000000000000000,8.5714285714285714
213,3,18,0,9,9,6.0000000000000000,4.2253521126760563
217,3,53,10,10,33,17.6666666666666667,4.6082949308755760
222,4,23,0,4,15,5.7500000000000000,1.8018018018018018
223,3,19,0,8,11,6.3333333333333333,3.5874439461883408
225,3,25,0,1,24,8.3333333333333333,0.44444444444444444444
237,3,9,0,0,9,3.0000000000000000,0.00000000000000000000
243,4,27,0,6,15,6.7500000000000000,2.4691358024691358
249,3,45,0,8,37,15.0000000000000000,3.2128514056224900
250,3,26,0,12,14,8.6666666666666667,4.8000000000000000
276,3,94,0,35,59,31.3333333333333333,12.6811594202898551
281,3,63,11,11,41,21.0000000000000000,3.9145907473309609
290,3,95,23,34,38,31.6666666666666667,11.7241379310344828
300,3,33,5,10,18,11.0000000000000000,3.3333333333333333
336,3,130,10,42,78,43.3333333333333333,12.5000000000000000
